Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,818,8.18311,99230,0.9993040,76.411
1,Piemonte,Maschi e femmine,1,99182,42,0.41914,99161,0.9996333,76.037
1,Piemonte,Maschi e femmine,2,99140,31,0.31433,99125,0.9997095,75.069
1,Piemonte,Maschi e femmine,3,99109,26,0.26670,99096,0.9997431,74.092
1,Piemonte,Maschi e femmine,4,99083,24,0.24719,99070,0.9997529,73.112
1,Piemonte,Maschi e femmine,5,99058,24,0.24699,99046,0.9997617,72.130
1,Piemonte,Maschi e femmine,6,99034,23,0.22950,99022,0.9997839,71.147
1,Piemonte,Maschi e femmine,7,99011,20,0.20269,99001,0.9998071,70.164
1,Piemonte,Maschi e femmine,8,98991,18,0.18303,98982,0.9998202,69.178
1,Piemonte,Maschi e femmine,9,98973,17,0.17651,98964,0.9998223,68.190
1,Piemonte,Maschi e femmine,10,98955,18,0.17884,98946,0.9998248,67.202
1,Piemonte,Maschi e femmine,11,98937,17,0.17154,98929,0.9998268,66.214
1,Piemonte,Maschi e femmine,12,98921,17,0.17490,98912,0.9998069,65.225
1,Piemonte,Maschi e femmine,13,98903,21,0.21123,98893,0.9997496,64.237
1,Piemonte,Maschi e femmine,14,98882,29,0.28967,98868,0.9996460,63.250
1,Piemonte,Maschi e femmine,15,98854,41,0.41837,98833,0.9995039,62.268
1,Piemonte,Maschi e femmine,16,98812,57,0.57395,98784,0.9993730,61.294
1,Piemonte,Maschi e femmine,17,98756,67,0.68006,98722,0.9992896,60.329
1,Piemonte,Maschi e femmine,18,98688,73,0.74081,98652,0.9992495,59.370
1,Piemonte,Maschi e femmine,19,98615,75,0.76017,98578,0.9992329,58.414
1,Piemonte,Maschi e femmine,20,98540,76,0.77412,98502,0.9992106,57.458
1,Piemonte,Maschi e femmine,21,98464,79,0.80474,98424,0.9991985,56.502
1,Piemonte,Maschi e femmine,22,98385,79,0.79827,98346,0.9992102,55.547
1,Piemonte,Maschi e femmine,23,98306,77,0.78135,98268,0.9992126,54.591
1,Piemonte,Maschi e femmine,24,98230,78,0.79355,98191,0.9992160,53.633
1,Piemonte,Maschi e femmine,25,98152,76,0.77452,98114,0.9992030,52.675
1,Piemonte,Maschi e femmine,26,98076,80,0.81940,98035,0.9991506,51.716
1,Piemonte,Maschi e femmine,27,97995,86,0.87935,97952,0.9991320,50.758
1,Piemonte,Maschi e femmine,28,97909,84,0.85660,97867,0.9991443,49.802
1,Piemonte,Maschi e femmine,29,97825,84,0.85480,97783,0.9991364,48.844
1,Piemonte,Maschi e femmine,30,97742,85,0.87240,97699,0.9991420,47.886
1,Piemonte,Maschi e femmine,31,97656,82,0.84356,97615,0.9991508,46.927
1,Piemonte,Maschi e femmine,32,97574,83,0.85484,97532,0.9991455,45.966
1,Piemonte,Maschi e femmine,33,97490,83,0.85407,97449,0.9991516,45.005
1,Piemonte,Maschi e femmine,34,97407,82,0.84264,97366,0.9991258,44.043
1,Piemonte,Maschi e femmine,35,97325,88,0.90572,97281,0.9990292,43.080
1,Piemonte,Maschi e femmine,36,97237,101,1.03588,97187,0.9988893,42.118
1,Piemonte,Maschi e femmine,37,97136,115,1.18567,97079,0.9987274,41.162
1,Piemonte,Maschi e femmine,38,97021,132,1.35955,96955,0.9986067,40.210
1,Piemonte,Maschi e femmine,39,96889,138,1.42718,96820,0.9985487,39.264
1,Piemonte,Maschi e femmine,40,96751,143,1.47552,96679,0.9984889,38.319
1,Piemonte,Maschi e femmine,41,96608,149,1.54666,96533,0.9983707,37.375
1,Piemonte,Maschi e femmine,42,96459,165,1.71211,96376,0.9981865,36.432
1,Piemonte,Maschi e femmine,43,96294,184,1.91503,96201,0.9979226,35.494
1,Piemonte,Maschi e femmine,44,96109,215,2.24016,96001,0.9976071,34.561
1,Piemonte,Maschi e femmine,45,95894,244,2.54605,95772,0.9972643,33.638
1,Piemonte,Maschi e femmine,46,95650,280,2.92586,95510,0.9969396,32.722
1,Piemonte,Maschi e femmine,47,95370,305,3.19535,95217,0.9966768,31.817
1,Piemonte,Maschi e femmine,48,95065,328,3.45140,94901,0.9964769,30.917
