newspaper,city,month,n
Corriere dell'Umbria,PG,2024-07-01,384
Corriere dell'Umbria,PG,2024-10-01,504
Corriere dell'Umbria,PG,2025-01-01,177
Corriere dell'Umbria,TR,2024-04-01,1
Corriere dell'Umbria,TR,2024-07-01,161
Corriere dell'Umbria,TR,2024-10-01,332
Corriere dell'Umbria,TR,2025-01-01,174
Perugia Today,PG,2000-01-01,3
Perugia Today,PG,2011-04-01,25
Perugia Today,PG,2011-07-01,868
Perugia Today,PG,2011-10-01,1048
Perugia Today,PG,2012-01-01,1270
Perugia Today,PG,2012-04-01,1291
Perugia Today,PG,2012-07-01,1061
Perugia Today,PG,2012-10-01,1185
Perugia Today,PG,2013-01-01,1064
Perugia Today,PG,2013-04-01,1111
Perugia Today,PG,2013-07-01,1131
Perugia Today,PG,2013-10-01,1285
Perugia Today,PG,2014-01-01,1303
Perugia Today,PG,2014-04-01,1310
Perugia Today,PG,2014-07-01,1062
Perugia Today,PG,2014-10-01,1269
Perugia Today,PG,2015-01-01,1765
Perugia Today,PG,2015-04-01,1673
Perugia Today,PG,2015-07-01,1510
Perugia Today,PG,2015-10-01,1927
Perugia Today,PG,2016-01-01,2227
Perugia Today,PG,2016-04-01,2191
Perugia Today,PG,2016-07-01,2176
Perugia Today,PG,2016-10-01,2524
Perugia Today,PG,2017-01-01,2576
Perugia Today,PG,2017-04-01,2464
Perugia Today,PG,2017-07-01,2105
Perugia Today,PG,2017-10-01,2410
Perugia Today,PG,2018-01-01,2284
Perugia Today,PG,2018-04-01,2417
Perugia Today,PG,2018-07-01,2153
Perugia Today,PG,2018-10-01,2261
Perugia Today,PG,2019-01-01,2313
Perugia Today,PG,2019-04-01,2634
Perugia Today,PG,2019-07-01,2472
Perugia Today,PG,2019-10-01,2473
Perugia Today,PG,2020-01-01,3438
Perugia Today,PG,2020-04-01,3668
Perugia Today,PG,2020-07-01,3039
Perugia Today,PG,2020-10-01,3597
Perugia Today,PG,2021-01-01,3694
Perugia Today,PG,2021-04-01,3516
Perugia Today,PG,2021-07-01,3209
Perugia Today,PG,2021-10-01,3931
Perugia Today,PG,2022-01-01,3935
Perugia Today,PG,2022-04-01,3736
Perugia Today,PG,2022-07-01,3455
Perugia Today,PG,2022-10-01,3836
Perugia Today,PG,2023-01-01,3259
Perugia Today,PG,2023-04-01,2858
Perugia Today,PG,2023-07-01,2739
Perugia Today,PG,2023-10-01,3181
Perugia Today,PG,2024-01-01,3101
Perugia Today,PG,2024-04-01,2746
Perugia Today,PG,2024-07-01,2228
Perugia Today,PG,2024-10-01,2389
Perugia Today,PG,2025-01-01,1375
Perugia Today,PG,NA,14
Terninrete,TR,2016-04-01,145
Terninrete,TR,2016-07-01,141
Terninrete,TR,2016-10-01,121
Terninrete,TR,2017-01-01,177
Terninrete,TR,2017-04-01,141
Terninrete,TR,2017-07-01,20
Terninrete,TR,2017-10-01,129
Terninrete,TR,2018-01-01,292
Terninrete,TR,2018-04-01,90
Terninrete,TR,2018-07-01,156
Terninrete,TR,2018-10-01,25
Terninrete,TR,2019-01-01,346
Terninrete,TR,2019-04-01,1132
Terninrete,TR,2019-07-01,692
Terninrete,TR,2019-10-01,644
Terninrete,TR,2020-01-01,628
Terninrete,TR,2020-04-01,1328
Terninrete,TR,2020-07-01,548
Terninrete,TR,2020-10-01,542
Terninrete,TR,2021-01-01,609
Terninrete,TR,2021-04-01,1068
Terninrete,TR,2021-07-01,468
Terninrete,TR,2021-10-01,441
Terninrete,TR,2022-01-01,624
Terninrete,TR,2022-04-01,1200
Terninrete,TR,2022-07-01,584
Terninrete,TR,2022-10-01,885
Terninrete,TR,2023-01-01,640
Terninrete,TR,2023-04-01,1370
Terninrete,TR,2023-07-01,1445
Terninrete,TR,2023-10-01,1105
Terninrete,TR,2024-01-01,4760
Terninrete,TR,2024-04-01,4595
Terninrete,TR,2024-07-01,4242
Terninrete,TR,2024-10-01,4859
Terninrete,TR,2025-01-01,2813
Terninrete,TR,NA,5
