Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,238,2.38308,99776,0.9997070,82.880
1,Piemonte,Maschi e femmine,1,99762,30,0.30423,99747,0.9997418,82.077
1,Piemonte,Maschi e femmine,2,99731,21,0.21225,99721,0.9998176,81.102
1,Piemonte,Maschi e femmine,3,99710,15,0.15246,99703,0.9998650,80.119
1,Piemonte,Maschi e femmine,4,99695,12,0.11761,99689,0.9998860,79.131
1,Piemonte,Maschi e femmine,5,99683,11,0.11031,99678,0.9998897,78.140
1,Piemonte,Maschi e femmine,6,99672,11,0.11019,99667,0.9998917,77.149
1,Piemonte,Maschi e femmine,7,99661,11,0.10650,99656,0.9998979,76.157
1,Piemonte,Maschi e femmine,8,99651,10,0.09774,99646,0.9999083,75.165
1,Piemonte,Maschi e femmine,9,99641,9,0.08576,99637,0.9999196,74.173
1,Piemonte,Maschi e femmine,10,99632,7,0.07507,99629,0.9999271,73.179
1,Piemonte,Maschi e femmine,11,99625,7,0.07083,99621,0.9999259,72.184
1,Piemonte,Maschi e femmine,12,99618,8,0.07730,99614,0.9999113,71.189
1,Piemonte,Maschi e femmine,13,99610,10,0.10014,99605,0.9998822,70.195
1,Piemonte,Maschi e femmine,14,99600,13,0.13536,99593,0.9998498,69.202
1,Piemonte,Maschi e femmine,15,99587,16,0.16503,99578,0.9998261,68.211
1,Piemonte,Maschi e femmine,16,99570,18,0.18280,99561,0.9998123,67.222
1,Piemonte,Maschi e femmine,17,99552,19,0.19261,99542,0.9998048,66.235
1,Piemonte,Maschi e femmine,18,99533,20,0.19789,99523,0.9997923,65.247
1,Piemonte,Maschi e femmine,19,99513,22,0.21760,99502,0.9997625,64.260
1,Piemonte,Maschi e femmine,20,99492,26,0.25745,99479,0.9997195,63.274
1,Piemonte,Maschi e femmine,21,99466,30,0.30350,99451,0.9996831,62.290
1,Piemonte,Maschi e femmine,22,99436,33,0.33031,99419,0.9996607,61.309
1,Piemonte,Maschi e femmine,23,99403,35,0.34822,99386,0.9996484,60.329
1,Piemonte,Maschi e femmine,24,99368,35,0.35507,99351,0.9996395,59.350
1,Piemonte,Maschi e femmine,25,99333,36,0.36597,99315,0.9996252,58.371
1,Piemonte,Maschi e femmine,26,99297,38,0.38367,99278,0.9996128,57.392
1,Piemonte,Maschi e femmine,27,99259,39,0.39065,99239,0.9996235,56.414
1,Piemonte,Maschi e femmine,28,99220,36,0.36227,99202,0.9996494,55.436
1,Piemonte,Maschi e femmine,29,99184,34,0.33900,99167,0.9996576,54.455
1,Piemonte,Maschi e femmine,30,99150,34,0.34590,99133,0.9996370,53.474
1,Piemonte,Maschi e femmine,31,99116,38,0.38012,99097,0.9996016,52.492
1,Piemonte,Maschi e femmine,32,99078,41,0.41672,99058,0.9995595,51.512
1,Piemonte,Maschi e femmine,33,99037,46,0.46433,99014,0.9995291,50.533
1,Piemonte,Maschi e femmine,34,98991,47,0.47748,98967,0.9995198,49.556
1,Piemonte,Maschi e femmine,35,98944,48,0.48282,98920,0.9995031,48.580
1,Piemonte,Maschi e femmine,36,98896,51,0.51093,98871,0.9994728,47.603
1,Piemonte,Maschi e femmine,37,98845,54,0.54352,98819,0.9994472,46.627
1,Piemonte,Maschi e femmine,38,98792,56,0.56206,98764,0.9994014,45.652
1,Piemonte,Maschi e femmine,39,98736,63,0.63511,98705,0.9993133,44.678
1,Piemonte,Maschi e femmine,40,98673,73,0.73832,98637,0.9992105,43.706
1,Piemonte,Maschi e femmine,41,98601,83,0.84075,98559,0.9990897,42.738
1,Piemonte,Maschi e femmine,42,98518,97,0.97987,98469,0.9989684,41.773
1,Piemonte,Maschi e femmine,43,98421,107,1.08333,98368,0.9988831,40.814
1,Piemonte,Maschi e femmine,44,98314,113,1.15054,98258,0.9987981,39.857
1,Piemonte,Maschi e femmine,45,98201,123,1.25332,98140,0.9986936,38.903
1,Piemonte,Maschi e femmine,46,98078,133,1.35948,98012,0.9985588,37.951
1,Piemonte,Maschi e femmine,47,97945,149,1.52302,97870,0.9983960,37.002
1,Piemonte,Maschi e femmine,48,97796,165,1.68510,97713,0.9982504,36.058
