Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita,Informazioni
1,Piemonte,Maschi e femmine,0,100000,217,2.17491,99795,0.9997539,83.008,s
1,Piemonte,Maschi e femmine,1,99783,23,0.23503,99771,0.9997895,82.188,s
1,Piemonte,Maschi e femmine,2,99759,19,0.18597,99750,0.9998337,81.207,s
1,Piemonte,Maschi e femmine,3,99741,15,0.14658,99733,0.9998689,80.222,s
1,Piemonte,Maschi e femmine,4,99726,12,0.11561,99720,0.9998961,79.233,s
1,Piemonte,Maschi e femmine,5,99714,9,0.09226,99710,0.9999155,78.243,s
1,Piemonte,Maschi e femmine,6,99705,8,0.07668,99701,0.9999286,77.250,s
1,Piemonte,Maschi e femmine,7,99698,7,0.06613,99694,0.9999370,76.256,s
1,Piemonte,Maschi e femmine,8,99691,6,0.05985,99688,0.9999403,75.261,s
1,Piemonte,Maschi e femmine,9,99685,6,0.05961,99682,0.9999390,74.265,s
1,Piemonte,Maschi e femmine,10,99679,6,0.06238,99676,0.9999381,73.269,s
1,Piemonte,Maschi e femmine,11,99673,6,0.06143,99670,0.9999385,72.274,s
1,Piemonte,Maschi e femmine,12,99667,6,0.06149,99664,0.9999353,71.278,s
1,Piemonte,Maschi e femmine,13,99661,7,0.06785,99657,0.9999200,70.283,s
1,Piemonte,Maschi e femmine,14,99654,9,0.09210,99649,0.9998849,69.288,s
1,Piemonte,Maschi e femmine,15,99645,14,0.13803,99638,0.9998378,68.294,s
1,Piemonte,Maschi e femmine,16,99631,19,0.18631,99622,0.9997945,67.303,s
1,Piemonte,Maschi e femmine,17,99612,22,0.22475,99601,0.9997605,66.316,s
1,Piemonte,Maschi e femmine,18,99590,25,0.25424,99577,0.9997317,65.330,s
1,Piemonte,Maschi e femmine,19,99565,28,0.28234,99551,0.9997070,64.347,s
1,Piemonte,Maschi e femmine,20,99536,30,0.30368,99521,0.9996841,63.365,s
1,Piemonte,Maschi e femmine,21,99506,33,0.32806,99490,0.9996670,62.384,s
1,Piemonte,Maschi e femmine,22,99474,34,0.33798,99457,0.9996660,61.404,s
1,Piemonte,Maschi e femmine,23,99440,33,0.33000,99424,0.9996798,60.425,s
1,Piemonte,Maschi e femmine,24,99407,31,0.31039,99392,0.9997037,59.445,s
1,Piemonte,Maschi e femmine,25,99376,28,0.28226,99362,0.9997298,58.463,s
1,Piemonte,Maschi e femmine,26,99348,26,0.25819,99335,0.9997420,57.479,s
1,Piemonte,Maschi e femmine,27,99323,26,0.25781,99310,0.9997302,56.494,s
1,Piemonte,Maschi e femmine,28,99297,28,0.28185,99283,0.9996970,55.509,s
1,Piemonte,Maschi e femmine,29,99269,32,0.32414,99253,0.9996524,54.524,s
1,Piemonte,Maschi e femmine,30,99237,37,0.37116,99218,0.9996137,53.542,s
1,Piemonte,Maschi e femmine,31,99200,40,0.40138,99180,0.9995871,52.561,s
1,Piemonte,Maschi e femmine,32,99160,42,0.42439,99139,0.9995692,51.582,s
1,Piemonte,Maschi e femmine,33,99118,43,0.43722,99096,0.9995453,50.604,s
1,Piemonte,Maschi e femmine,34,99075,47,0.47218,99051,0.9995004,49.626,s
1,Piemonte,Maschi e femmine,35,99028,52,0.52697,99002,0.9994443,48.649,s
1,Piemonte,Maschi e femmine,36,98976,58,0.58438,98947,0.9994019,47.674,s
1,Piemonte,Maschi e femmine,37,98918,61,0.61174,98888,0.9993773,46.702,s
1,Piemonte,Maschi e femmine,38,98857,63,0.63359,98826,0.9993408,45.730,s
1,Piemonte,Maschi e femmine,39,98795,68,0.68475,98761,0.9992810,44.759,s
1,Piemonte,Maschi e femmine,40,98727,74,0.75332,98690,0.9992025,43.789,s
1,Piemonte,Maschi e femmine,41,98653,83,0.84169,98611,0.9990869,42.822,s
1,Piemonte,Maschi e femmine,42,98570,97,0.98464,98521,0.9989596,41.858,s
1,Piemonte,Maschi e femmine,43,98473,108,1.09619,98419,0.9988639,40.898,s
1,Piemonte,Maschi e femmine,44,98365,116,1.17614,98307,0.9987777,39.943,s
1,Piemonte,Maschi e femmine,45,98249,125,1.26859,98187,0.9986762,38.989,s
1,Piemonte,Maschi e femmine,46,98124,135,1.37901,98057,0.9985649,38.038,s
1,Piemonte,Maschi e femmine,47,97989,146,1.49121,97916,0.9984198,37.090,s
1,Piemonte,Maschi e femmine,48,97843,163,1.66930,97761,0.9982560,36.144,s
1,Piemonte,Maschi e femmine,49,97680,178,1.81883,97591,0.9980878,35.204,s
1,Piemonte,Maschi e femmine,50,97502,196,2.00573,97404,0.9978876,34.267,s
1,Piemonte,Maschi e femmine,51,97306,216,2.21925,97198,0.9976701,33.335,s
1,Piemonte,Maschi e femmine,52,97090,237,2.44078,96972,0.9974390,32.408,s
1,Piemonte,Maschi e femmine,53,96854,260,2.68160,96724,0.9972066,31.486,s
1,Piemonte,Maschi e femmine,54,96594,281,2.90552,96453,0.9970371,30.570,s
1,Piemonte,Maschi e femmine,55,96313,291,3.02042,96168,0.9967941,29.657,s
1,Piemonte,Maschi e femmine,56,96022,326,3.39199,95859,0.9964517,28.746,s
1,Piemonte,Maschi e femmine,57,95697,355,3.70519,95519,0.9961175,27.842,s
1,Piemonte,Maschi e femmine,58,95342,387,4.06056,95148,0.9956970,26.943,s
1,Piemonte,Maschi e femmine,59,94955,432,4.54638,94739,0.9952042,26.051,s
1,Piemonte,Maschi e femmine,60,94523,477,5.04632,94285,0.9947523,25.168,s
1,Piemonte,Maschi e femmine,61,94046,513,5.45012,93790,0.9942536,24.293,s
1,Piemonte,Maschi e femmine,62,93534,565,6.04432,93251,0.9936100,23.423,s
1,Piemonte,Maschi e femmine,63,92968,626,6.73771,92655,0.9929233,22.563,s
1,Piemonte,Maschi e femmine,64,92342,685,7.41800,91999,0.9920779,21.712,s
1,Piemonte,Maschi e femmine,65,91657,773,8.43003,91270,0.9911957,20.871,s
1,Piemonte,Maschi e femmine,66,90884,834,9.18169,90467,0.9905221,20.044,s
1,Piemonte,Maschi e femmine,67,90050,880,9.77680,89609,0.9899187,19.225,s
1,Piemonte,Maschi e femmine,68,89169,926,10.38882,88706,0.9891180,18.410,s
1,Piemonte,Maschi e femmine,69,88243,1004,11.38044,87741,0.9879645,17.598,s
1,Piemonte,Maschi e femmine,70,87239,1108,12.69811,86685,0.9863836,16.795,s
1,Piemonte,Maschi e femmine,71,86131,1253,14.54658,85504,0.9844024,16.005,s
1,Piemonte,Maschi e femmine,72,84878,1414,16.66417,84171,0.9823194,15.233,s
1,Piemonte,Maschi e femmine,73,83464,1562,18.71418,82683,0.9804569,14.483,s
1,Piemonte,Maschi e femmine,74,81902,1670,20.38787,81067,0.9788985,13.750,s
1,Piemonte,Maschi e femmine,75,80232,1751,21.83004,79356,0.9769527,13.026,s
